City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
busselton,24,AU,1554150046,66,-33.64,115.35,16.67,3.58
hofn,90,IS,1554145200,100,64.25,-15.21,1,4.6
east london,32,ZA,1554150235,100,-33.02,27.91,19.06,10.88
kindu,64,CD,1554150236,83,-2.95,25.92,24.51,1.58
kapaa,1,US,1554149900,64,22.08,-159.32,25,2.78
dingle,24,PH,1554150044,91,11,122.67,23.51,4.93
atuona,76,PF,1554150047,100,-9.8,-139.03,26.86,4.63
ahipara,48,NZ,1554150237,96,-35.17,173.16,18.71,5.73
port elizabeth,1,US,1554150206,26,39.31,-74.98,11.67,4.6
ushuaia,75,AR,1554145200,87,-54.81,-68.31,12,2.36
tyup,8,KG,1554150237,100,42.73,78.36,-3.3,1.01
gizo,75,IL,1554150222,67,31.8,34.94,16,3.6
jamestown,0,AU,1554150066,83,-33.21,138.6,5.61,2.06
puerto ayora,20,EC,1554149804,70,-0.74,-90.35,30,6.7
vaini,0,IN,1554150238,91,15.34,74.49,19.16,0.48
san quintin,0,PH,1554150239,82,17.54,120.52,19.76,1.61
puerto madero,48,AR,1554150204,88,-34.61,-58.36,27.78,4.1
faya,0,SA,1554148800,82,18.39,42.45,18,4.1
rikitea,0,PF,1554150148,100,-23.12,-134.97,24.71,6.88
lebu,75,ET,1554148800,63,8.96,38.73,17,3.1
avarua,76,CK,1554148800,74,-21.21,-159.78,27,4.1
hobart,20,AU,1554150079,87,-42.88,147.33,7.22,5.1
mataura,92,NZ,1554150007,85,-46.19,168.86,9.44,0.45
dikson,80,RU,1554150057,99,73.51,80.55,-2.9,11.01
saskylakh,0,RU,1554150027,59,71.97,114.09,-13.45,2.63
albany,20,US,1554149675,25,42.65,-73.75,5.56,8.7
zavitinsk,0,RU,1554150241,76,50.11,129.44,-8.9,2.58
butaritari,56,KI,1554150043,100,3.07,172.79,28.61,5.03
bluff,0,AU,1554150029,79,-23.58,149.07,17.01,4.31
muli,0,IN,1554150242,39,22.62,71.45,23.36,1.28
santiago,0,CL,1554149997,36,-33.44,-70.65,27.78,2.6
cherskiy,80,RU,1554150243,72,68.75,161.3,-5.55,2.86
castro,90,CL,1554145200,93,-42.48,-73.76,12,8.2
tokur,0,RU,1554150244,67,53.13,132.9,-14.45,1.68
pangody,68,RU,1554150244,89,65.85,74.49,-4.85,4.18
georgetown,40,GY,1554145200,52,6.8,-58.16,32,3.86
khatanga,80,RU,1554150130,92,71.98,102.47,-1.85,5.31
broome,0,GB,1554150186,81,52.47,1.45,8.33,1.5
tasiilaq,0,GL,1554148200,68,65.61,-37.64,-4,4.1
jijiga,44,ET,1554150246,73,9.35,42.8,17.01,1.11
thunder bay,90,CA,1554150002,41,48.41,-89.26,5,5.7
curup,48,ID,1554150246,96,-3.47,102.53,20.51,0.43
hermanus,12,ZA,1554149779,59,-34.42,19.24,14.44,2.68
christchurch,24,NZ,1554150004,87,-43.53,172.64,11.67,1.5
mantua,0,IT,1554150231,44,45.16,10.79,16.67,2.6
pirovskoye,0,RU,1554150247,84,57.63,92.27,-1.9,2.71
kavaratti,0,IN,1554150248,100,10.57,72.64,28.56,4.03
gwadar,8,PK,1554150211,55,25.12,62.33,27.61,4.31
nanortalik,92,GL,1554150248,100,60.14,-45.24,-2.45,10.46
upernavik,56,GL,1554150248,100,72.79,-56.15,-8.1,3.13
barrow,20,AR,1554150249,35,-38.31,-60.23,28.46,5.06
pankovka,0,RU,1554150249,70,58.5,31.2,-1.2,3.23
punta arenas,90,CL,1554149563,93,-53.16,-70.91,13,2.6
pisco,0,PE,1554145200,30,-13.71,-76.2,22,6.7
cabo san lucas,5,MX,1554149816,36,22.89,-109.91,30.56,1
oranmore,75,IE,1554148800,87,53.27,-8.93,7,5.1
vila velha,92,BR,1554149889,100,-3.71,-38.6,25,0.89
esperance,20,TT,1554149792,49,10.24,-61.45,32,6.7
tyret pervaya,24,RU,1554150250,89,53.67,102.31,-0.95,3.41
broken hill,0,AU,1554145200,66,-31.97,141.45,13,2.23
badarwas,0,IN,1554150251,55,24.97,77.57,17.21,1.03
victoria,75,BN,1554147000,88,5.28,115.24,25,0.5
bara,0,NG,1554150251,22,10.41,10.6,27.41,3.91
norman wells,75,CA,1554145200,73,65.28,-126.83,-3,5.7
chuy,20,UY,1554150252,80,-33.69,-53.46,22.96,3.68
bethel,75,US,1554144960,69,60.79,-161.76,4,1.5
carnarvon,0,ZA,1554150252,35,-30.97,22.13,9.41,5.53
santa barbara,1,US,1554150033,27,34.42,-119.7,26.11,2.1
new norfolk,20,AU,1554150194,87,-42.78,147.06,7.22,5.1
san cristobal,75,EC,1554149740,63,-0.39,-78.55,20,6.2
baykit,88,RU,1554150254,82,61.68,96.39,-2.65,4.03
touros,40,BR,1554145200,100,-5.2,-35.46,26,1
khuzhir,56,RU,1554150097,78,53.19,107.35,-5.6,1.83
coahuayana,0,MX,1554150254,18,18.62,-100.35,30.96,1.38
nowy dwor gdanski,0,PL,1554150254,69,54.21,19.12,4.44,3.1
cape town,0,ZA,1554149891,62,-33.93,18.42,15.56,6.7
sena madureira,12,BR,1554150255,69,-9.07,-68.66,31.01,0.71
cookeville,1,US,1554150171,25,36.16,-85.5,13.33,3.6
port hedland,0,AU,1554147000,94,-20.31,118.58,23,2.1
havoysund,75,NO,1554148200,80,71,24.66,-1,6.7
chulumani,48,BO,1554150256,90,-16.41,-67.53,15.46,0.56
deputatskiy,24,RU,1554150256,49,69.3,139.9,-23.3,2.51
matara,40,PE,1554145200,54,-13.74,-72.9,15,1.11
spring hill,75,US,1554150246,93,28.46,-82.54,21.11,3.6
nome,90,US,1554150063,41,30.04,-94.42,15,4.6
pevek,12,RU,1554150258,73,69.7,170.27,-6.25,6.41
petropavlovsk-kamchatskiy,40,RU,1554147000,92,53.05,158.65,-2,2
bulgan,44,MN,1554150163,71,48.81,103.53,-4.7,1.23
saint-pierre,0,FR,1554150156,81,48.95,4.24,13,3.98
